gene,comparison,log2fc,p_value,abs_log2fc
SLC33A1,HSCT_vs_Normal,-21.138245782185493,5.279834885217536e-39,21.138245782185493
SLC35A1,GCSF_vs_Normal,-21.65722998327921,5.3118051929096264e-39,21.65722998327921
SLC35A1,HSCT_vs_Normal,-21.65722998327921,5.3118051929096264e-39,21.65722998327921
SLC35A1,PDAC_vs_Normal,-21.65722998327921,5.3118051929096264e-39,21.65722998327921
SLC25A20,PDAC_vs_Normal,-21.231164705366766,5.317673843196365e-39,21.231164705366766
SLC25A20,HSCT_vs_Normal,-21.231164705366766,5.317673843196365e-39,21.231164705366766
SLC25A20,GCSF_vs_Normal,-21.231164705366766,5.317673843196365e-39,21.231164705366766
SLC25A36,PDAC_vs_Normal,-21.47442345149997,5.3317844553830246e-39,21.47442345149997
SLC25A36,GCSF_vs_Normal,-21.47442345149997,5.3317844553830246e-39,21.47442345149997
SLC25A36,HSCT_vs_Normal,-21.47442345149997,5.3317844553830246e-39,21.47442345149997
SLC30A1,PDAC_vs_Normal,-21.274086360283274,5.3427846546067784e-39,21.274086360283274
SLC30A1,HSCT_vs_Normal,-21.274086360283274,5.3427846546067784e-39,21.274086360283274
SLC30A1,GCSF_vs_Normal,-21.274086360283274,5.3427846546067784e-39,21.274086360283274
SLC3A2,PDAC_vs_Normal,-22.018381735383485,5.388593536045562e-39,22.018381735383485
SLC3A2,HSCT_vs_Normal,-22.018381735383485,5.388593536045562e-39,22.018381735383485
SLC3A2,GCSF_vs_Normal,-22.018381735383485,5.388593536045562e-39,22.018381735383485
SLC24A4,HSCT_vs_Normal,-21.93226331392517,5.4188140270725364e-39,21.93226331392517
SLC24A4,GCSF_vs_Normal,-21.93226331392517,5.4188140270725364e-39,21.93226331392517
SLC24A4,PDAC_vs_Normal,-21.93226331392517,5.4188140270725364e-39,21.93226331392517
SLC25A40,HSCT_vs_Normal,-22.471100760772906,5.436385698633492e-39,22.471100760772906
SLC25A40,PDAC_vs_Normal,-22.471100760772906,5.436385698633492e-39,22.471100760772906
SLC25A40,GCSF_vs_Normal,-22.471100760772906,5.436385698633492e-39,22.471100760772906
SLC22A4,HSCT_vs_Normal,-22.805373760532362,5.445593028130975e-39,22.805373760532362
SLC22A4,PDAC_vs_Normal,-22.805373760532362,5.445593028130975e-39,22.805373760532362
SLC22A4,GCSF_vs_Normal,-22.805373760532362,5.445593028130975e-39,22.805373760532362
SLC8B1,GCSF_vs_Normal,-22.86849219533775,5.479752462098492e-39,22.86849219533775
