feature,rank_pca,rank_lda,rank_lasso,rank_shap,mean_rank,is_slc
SLC10A3,5906.0,4030.0,8260.5,7753.0,6487.375,False
AC005253.1,7310.0,2626.0,8260.5,7753.0,6487.375,False
ARHGAP24,5565.0,4375.0,8260.5,7753.0,6488.375,False
PARL,4694.0,5246.0,8260.5,7753.0,6488.375,False
SACM1L,3865.0,6078.0,8260.5,7753.0,6489.125,False
AGAP5,10059.0,7369.0,8260.5,268.5,6489.25,False
RBM15,4450.0,5495.0,8260.5,7753.0,6489.625,False
TTYH3,6175.0,3777.0,8260.5,7753.0,6491.375,False
HAGH,4952.0,5001.0,8260.5,7753.0,6491.625,False
DDX18,4788.0,5165.0,8260.5,7753.0,6491.625,False
ZC3H3,4820.0,5134.0,8260.5,7753.0,6491.875,False
ADK,5956.0,3999.0,8260.5,7753.0,6492.125,False
DDB1,6662.0,10757.0,8260.5,294.5,6493.5,False
ERAP1,4616.0,5347.0,8260.5,7753.0,6494.125,False
FAM168A,4533.0,5431.0,8260.5,7753.0,6494.375,False
PIGQ,5355.0,4613.0,8260.5,7753.0,6495.375,False
MATR3.1,6703.0,3266.0,8260.5,7753.0,6495.625,False
CXCL6,5429.0,4540.0,8260.5,7753.0,6495.625,False
LINC02019,6259.0,3710.0,8260.5,7753.0,6495.625,False
C3AR1,5464.0,4506.0,8260.5,7753.0,6495.875,False
UBE2N,4111.0,5861.0,8260.5,7753.0,6496.375,False
LIAS,6926.0,3047.0,8260.5,7753.0,6496.625,False
ARRDC4,6843.0,3130.0,8260.5,7753.0,6496.625,False
FBRSL1,4768.0,5208.0,8260.5,7753.0,6497.375,False
AGGF1,5715.0,4261.0,8260.5,7753.0,6497.375,False
NCKAP5L,6106.0,3871.0,8260.5,7753.0,6497.625,False
PPP2CB,5038.0,4941.0,8260.5,7753.0,6498.125,False
ESCO1,4027.0,5953.0,8260.5,7753.0,6498.375,False
ICE1,5637.0,4348.0,8260.5,7753.0,6499.625,False
HLA-DOB,7033.0,2953.0,8260.5,7753.0,6499.875,False
SS18L1,5777.0,4209.0,8260.5,7753.0,6499.875,False
AC011498.4,6362.0,3629.0,8260.5,7753.0,6501.125,False
KCTD12,3018.0,6975.0,8260.5,7753.0,6501.625,False
PPIL2,4807.0,5190.0,8260.5,7753.0,6502.625,False
SELENOS,4830.0,5171.0,8260.5,7753.0,6503.625,False
ATP6V1H,3990.0,6013.0,8260.5,7753.0,6504.125,False
TRAF6,4766.0,5240.0,8260.5,7753.0,6504.875,False
SLC12A9,1933.0,8073.0,8260.5,7753.0,6504.875,False
SGTA,3939.0,6069.0,8260.5,7753.0,6505.375,False
TMEM203,5238.0,4772.0,8260.5,7753.0,6505.875,False
C14orf28,6111.0,3907.0,8260.5,7753.0,6507.875,False
SSBP3,6079.0,3940.0,8260.5,7753.0,6508.125,False
GTF2H5,6386.0,3635.0,8260.5,7753.0,6508.625,False
LINGO3,8337.0,9425.0,8260.5,16.5,6509.75,False
TRAF3,5739.0,4290.0,8260.5,7753.0,6510.625,False
MGAT2,5134.0,4899.0,8260.5,7753.0,6511.625,False
GRSF1,5997.0,4039.0,8260.5,7753.0,6512.375,False
ALG13,6009.0,4028.0,8260.5,7753.0,6512.625,False
APP,5736.0,4303.0,8260.5,7753.0,6513.125,False
AEBP2,4862.0,5179.0,8260.5,7753.0,6513.625,False
KIAA0586,5128.0,4914.0,8260.5,7753.0,6513.875,False
MAGOH,2848.0,7195.0,8260.5,7753.0,6514.125,False
ZNF865,4717.0,5327.0,8260.5,7753.0,6514.375,False
CHPF2,3669.0,6378.0,8260.5,7753.0,6515.125,False
NKAP,4191.0,5857.0,8260.5,7753.0,6515.375,False
AQR,4398.0,5655.0,8260.5,7753.0,6516.625,False
MEA1,4689.0,5369.0,8260.5,7753.0,6517.875,False
SUV39H1,7100.0,2958.0,8260.5,7753.0,6517.875,False
AKTIP,4636.0,5423.0,8260.5,7753.0,6518.125,False
GNPTAB,5381.0,4678.0,8260.5,7753.0,6518.125,False
SNHG25,5472.0,4595.0,8260.5,7753.0,6520.125,False
CRACR2A,5044.0,5029.0,8260.5,7753.0,6521.625,False
ANKRD33B,6414.0,3660.0,8260.5,7753.0,6521.875,False
LRRC8D,7251.0,10239.0,8260.5,341.5,6523.0,False
TIRAP,6281.0,3800.0,8260.5,7753.0,6523.625,False
C11orf68,3456.0,6626.0,8260.5,7753.0,6523.875,False
AGO1,2997.0,7087.0,8260.5,7753.0,6524.375,False
PLAGL2,4657.0,5430.0,8260.5,7753.0,6525.125,False
GFOD2,5223.0,4865.0,8260.5,7753.0,6525.375,False
CEACAM4,1686.0,8402.0,8260.5,7753.0,6525.375,False
ELK3,6840.0,3248.0,8260.5,7753.0,6525.375,False
CETN2,5325.0,4765.0,8260.5,7753.0,6525.875,False
MON2,2153.0,7940.0,8260.5,7753.0,6526.625,False
FOSL1,6883.0,3213.0,8260.5,7753.0,6527.375,False
AC004069.1,4441.0,5656.0,8260.5,7753.0,6527.625,False
DGKA,3635.0,6463.0,8260.5,7753.0,6527.875,False
CLEC18A,5348.0,4750.0,8260.5,7753.0,6527.875,False
RAB3GAP1,4405.0,5694.0,8260.5,7753.0,6528.125,False
SNRPC,5520.0,4580.0,8260.5,7753.0,6528.375,False
ZNF426,6558.0,3543.0,8260.5,7753.0,6528.625,False
TUFT1,6138.0,3964.0,8260.5,7753.0,6528.875,False
EIF3L,2788.0,7317.0,8260.5,7753.0,6529.625,False
LRRC8B,4649.0,5463.0,8260.5,7753.0,6531.375,False
SENP3,6209.0,3908.0,8260.5,7753.0,6532.625,False
NDUFV1,5271.0,4846.0,8260.5,7753.0,6532.625,False
TMEM98,6704.0,3413.0,8260.5,7753.0,6532.625,False
ZMYM6,6687.0,10890.0,8260.5,294.5,6533.0,False
KLF9,5538.0,4581.0,8260.5,7753.0,6533.125,False
UBE2V2,4506.0,5613.0,8260.5,7753.0,6533.125,False
SUDS3,3166.0,6956.0,8260.5,7753.0,6533.875,False
SLC37A1,6119.0,4007.0,8260.5,7753.0,6534.875,True
NUP54,6828.0,3298.0,8260.5,7753.0,6534.875,False
ABCB9,9626.0,8173.0,8260.5,81.0,6535.125,False
AIMP1,6791.0,3337.0,8260.5,7753.0,6535.375,False
EXOSC3,6076.0,4053.0,8260.5,7753.0,6535.625,False
PAXX,5877.0,4258.0,8260.5,7753.0,6537.125,False
ASL,4900.0,5235.0,8260.5,7753.0,6537.125,False
DDHD1,5705.0,4435.0,8260.5,7753.0,6538.375,False
NDUFS7,4175.0,5966.0,8260.5,7753.0,6538.625,False
APEH,5787.0,4356.0,8260.5,7753.0,6539.125,False
RTL8C,6081.0,4065.0,8260.5,7753.0,6539.875,False
CCDC142,6303.0,3846.0,8260.5,7753.0,6540.625,False
PELI2,1511.0,8638.0,8260.5,7753.0,6540.625,False
EVL,6379.0,3774.0,8260.5,7753.0,6541.625,False
ANKZF1,4497.0,5658.0,8260.5,7753.0,6542.125,False
HAT1,2832.0,7329.0,8260.5,7753.0,6543.625,False
RAB4B,5491.0,4670.0,8260.5,7753.0,6543.625,False
RPF1,5722.0,4440.0,8260.5,7753.0,6543.875,False
CIB1,2281.0,7882.0,8260.5,7753.0,6544.125,False
HYPK,5929.0,4236.0,8260.5,7753.0,6544.625,False
ZNF12,4911.0,5255.0,8260.5,7753.0,6544.875,False
CWF19L2,5085.0,5082.0,8260.5,7753.0,6545.125,False
GPATCH1,5889.0,4279.0,8260.5,7753.0,6545.375,False
KLHL12,4789.0,5379.0,8260.5,7753.0,6545.375,False
UBXN11,4670.0,5500.0,8260.5,7753.0,6545.875,False
HPSE,4551.0,5619.0,8260.5,7753.0,6545.875,False
AC007298.1,6712.0,3460.0,8260.5,7753.0,6546.375,False
C12orf65,6754.0,3419.0,8260.5,7753.0,6546.625,False
ALDOC,7178.0,2999.0,8260.5,7753.0,6547.625,False
MRPS34,4705.0,5475.0,8260.5,7753.0,6548.375,False
NFYB,5615.0,4566.0,8260.5,7753.0,6548.625,False
LINC00211,4179.0,6003.0,8260.5,7753.0,6548.875,False
AC108863.1,4960.0,5223.0,8260.5,7753.0,6549.125,False
NPIPB11,4908.0,5275.0,8260.5,7753.0,6549.125,False
UCHL5,6014.0,4170.0,8260.5,7753.0,6549.375,False
AC104463.2,5933.0,4255.0,8260.5,7753.0,6550.375,False
ZBTB4,6077.0,4111.0,8260.5,7753.0,6550.375,False
SEPHS2,3481.0,6708.0,8260.5,7753.0,6550.625,False
PHKG2,2817.0,7373.0,8260.5,7753.0,6550.875,False
MTRNR2L10,5794.0,4397.0,8260.5,7753.0,6551.125,False
C1RL,1366.0,8827.0,8260.5,7753.0,6551.625,False
AC135782.1,6815.0,3384.0,8260.5,7753.0,6553.125,False
UPF3B,6649.0,11226.0,8260.5,77.5,6553.25,False
ANKMY1,6645.0,3561.0,8260.5,7753.0,6554.875,False
NDUFV3,3975.0,6232.0,8260.5,7753.0,6555.125,False
TAF2,5678.0,4529.0,8260.5,7753.0,6555.125,False
CASP10,5477.0,4731.0,8260.5,7753.0,6555.375,False
DLGAP1-AS1,4469.0,5739.0,8260.5,7753.0,6555.375,False
AC055811.3,9332.0,8513.0,8260.5,117.0,6555.625,False
WDR33,3715.0,6495.0,8260.5,7753.0,6555.875,False
LATS2,4046.0,6169.0,8260.5,7753.0,6557.125,False
POLE4,5849.0,4369.0,8260.5,7753.0,6557.875,False
EIF5B,6040.0,4181.0,8260.5,7753.0,6558.625,False
SNHG7,7013.0,10743.0,8260.5,221.5,6559.5,False
AC239868.3,5438.0,4790.0,8260.5,7753.0,6560.375,False
RHBDF2,4079.0,6149.0,8260.5,7753.0,6560.375,False
CUTC,4100.0,6132.0,8260.5,7753.0,6561.375,False
AC004951.1,3205.0,7028.0,8260.5,7753.0,6561.625,False
VPS16,4699.0,5537.0,8260.5,7753.0,6562.375,False
SLC35A5,5750.0,4489.0,8260.5,7753.0,6563.125,False
SMARCE1,4842.0,5398.0,8260.5,7753.0,6563.375,False
AC008467.1,5497.0,4744.0,8260.5,7753.0,6563.625,False
DTX4,5914.0,4328.0,8260.5,7753.0,6563.875,False
YAF2,2405.0,7843.0,8260.5,7753.0,6565.375,False
PCNA,5669.0,4586.0,8260.5,7753.0,6567.125,False
MAP1S,3644.0,6612.0,8260.5,7753.0,6567.375,False
CD274,4606.0,5652.0,8260.5,7753.0,6567.875,False
AP5M1,4422.0,5838.0,8260.5,7753.0,6568.375,False
TJAP1,6654.0,3606.0,8260.5,7753.0,6568.375,False
PABPC4,5766.0,4495.0,8260.5,7753.0,6568.625,False
AIM2,6338.0,3924.0,8260.5,7753.0,6568.875,False
ZNF410,6888.0,10884.0,8260.5,244.0,6569.125,False
STRN3,3369.0,6898.0,8260.5,7753.0,6570.125,False
FTSJ3,7142.0,3126.0,8260.5,7753.0,6570.375,False
B3GNT2,4120.0,6148.0,8260.5,7753.0,6570.375,False
MALT1,5597.0,4673.0,8260.5,7753.0,6570.875,False
TUBGCP6,5200.0,5071.0,8260.5,7753.0,6571.125,False
PARP16,6007.0,4267.0,8260.5,7753.0,6571.875,False
NSUN4,4794.0,5482.0,8260.5,7753.0,6572.375,False
MFSD1,2719.0,7559.0,8260.5,7753.0,6572.875,False
LINC00467,6453.0,3825.0,8260.5,7753.0,6572.875,False
PRUNE1,5182.0,5099.0,8260.5,7753.0,6573.625,False
CLC,5600.0,4682.0,8260.5,7753.0,6573.875,False
ILF2,5532.0,4752.0,8260.5,7753.0,6574.375,False
SOCS4,5504.0,4783.0,8260.5,7753.0,6575.125,False
UBOX5,5879.0,4410.0,8260.5,7753.0,6575.625,False
TTPAL,4319.0,5972.0,8260.5,7753.0,6576.125,False
ATP13A3,4611.0,5684.0,8260.5,7753.0,6577.125,False
SEC61A1,6192.0,4104.0,8260.5,7753.0,6577.375,False
RYK,5222.0,5075.0,8260.5,7753.0,6577.625,False
NUP133,6772.0,10871.0,8260.5,411.0,6578.625,False
AL354719.2,6345.0,3959.0,8260.5,7753.0,6579.375,False
GALK2,6177.0,4127.0,8260.5,7753.0,6579.375,False
ETS1,5402.0,4904.0,8260.5,7753.0,6579.875,False
ZNF330,5703.0,4604.0,8260.5,7753.0,6580.125,False
ZSCAN32,6293.0,4015.0,8260.5,7753.0,6580.375,False
SLC4A1AP,3861.0,6448.0,8260.5,7753.0,6580.625,False
GSEC,4210.0,6103.0,8260.5,7753.0,6581.625,False
TRMT10C,6171.0,4142.0,8260.5,7753.0,6581.625,False
TTC19,5858.0,4456.0,8260.5,7753.0,6581.875,False
R3HDM1,6699.0,3617.0,8260.5,7753.0,6582.375,False
PTPN22,5685.0,4637.0,8260.5,7753.0,6583.875,False
MAP1LC3B2,5136.0,5188.0,8260.5,7753.0,6584.375,False
TAF11,4404.0,5921.0,8260.5,7753.0,6584.625,False
RNF113A,6437.0,3888.0,8260.5,7753.0,6584.625,False
GTF2H1,4384.0,5944.0,8260.5,7753.0,6585.375,False
NCOR2,3812.0,6520.0,8260.5,7753.0,6586.375,False
NDUFA12,5813.0,4520.0,8260.5,7753.0,6586.625,False
AP001269.4,7093.0,3241.0,8260.5,7753.0,6586.875,False
TOP2B,3304.0,7031.0,8260.5,7753.0,6587.125,False
TNFRSF10B,4261.0,6076.0,8260.5,7753.0,6587.625,False
MTMR1,4161.0,6180.0,8260.5,7753.0,6588.625,False
PPARD,6713.0,3631.0,8260.5,7753.0,6589.375,False
TSR3,3242.0,7102.0,8260.5,7753.0,6589.375,False
