,is_slc
MAR04516,False
MAR04601,False
MAR04633,False
MAR04640,False
MAR04641,False
MAR04680,False
MAR04806,False
MAR05394,False
MAR06625,False
MAR06626,False
MAR07160,False
MAR07161,False
MAR07162,False
MAR07163,False
MAR07164,False
MAR07713,False
MAR07716,False
MAR07717,False
MAR07721,False
MAR07725,False
MAR07728,False
MAR07800,False
MAR07801,False
MAR07802,False
MAR07863,False
MAR07864,False
MAR07865,False
MAR07866,False
MAR07867,False
MAR07868,False
MAR07869,False
MAR07870,False
MAR07871,False
MAR07872,False
MAR07873,False
MAR07874,False
MAR07875,False
MAR07876,False
MAR07878,False
MAR07879,False
MAR07880,False
MAR07881,False
MAR07882,False
MAR07883,False
MAR07884,False
MAR07885,False
MAR07886,False
MAR07887,False
MAR07888,False
MAR07889,False
MAR07890,False
MAR07891,False
MAR07892,False
MAR07893,False
MAR07895,False
MAR08083,False
MAR08085,False
MAR08087,False
MAR08443,False
MAR08444,False
MAR08445,False
MAR08446,False
MAR08448,False
MAR08449,False
MAR08450,False
MAR08451,False
MAR08452,False
MAR08453,False
MAR08454,False
MAR08455,False
MAR08456,False
MAR08457,False
MAR08458,False
MAR08459,False
MAR08460,False
MAR08461,False
MAR08462,False
MAR08463,False
MAR08464,False
MAR08465,False
MAR08466,False
MAR08467,False
MAR08468,False
MAR08469,False
MAR08470,False
MAR08471,False
MAR08472,False
MAR08473,False
MAR08474,False
MAR08477,False
MAR08478,False
MAR08479,False
MAR08480,False
MAR08481,False
MAR08482,False
MAR08483,False
MAR08484,False
MAR08485,False
MAR08486,False
MAR08487,False
MAR08488,False
MAR08489,False
MAR03802,False
MAR03804,False
MAR03811,False
MAR03813,False
MAR03822,False
MAR03827,False
MAR03829,False
MAR03862,False
MAR03865,False
MAR03870,False
MAR03873,False
MAR08654,False
MAR03890,False
MAR03892,False
MAR09802,False
MAR03899,False
MAR03903,False
MAR04109,False
MAR04114,False
MAR04115,False
MAR04118,False
MAR04172,False
MAR04196,False
MAR04197,False
MAR04287,False
MAR04690,False
MAR04693,False
MAR06780,False
MAR06969,False
MAR06970,False
MAR07641,False
MAR07642,False
MAR08626,False
MAR08628,False
MAR03806,False
MAR03807,False
MAR03809,False
MAR03816,False
MAR03819,False
MAR03820,False
MAR03832,False
MAR03833,False
MAR03835,False
MAR03837,False
MAR03895,False
MAR03897,False
MAR03956,False
MAR03993,False
MAR04073,False
MAR04075,False
MAR04077,False
MAR04190,False
MAR04191,False
MAR04212,False
MAR04422,False
MAR04423,False
MAR04424,False
MAR04583,False
MAR04606,False
MAR04607,False
MAR04776,False
MAR04777,False
MAR04778,False
MAR04779,False
MAR04780,False
MAR04781,False
MAR04784,False
MAR04785,False
MAR04786,False
MAR04787,False
MAR05384,False
MAR06932,False
MAR06935,False
MAR06938,False
MAR06940,False
MAR06942,False
MAR06945,False
MAR06948,False
MAR06951,False
MAR06965,False
MAR06966,False
MAR08096,False
MAR08097,False
MAR08098,False
MAR08416,False
MAR08425,False
MAR08426,False
MAR08427,False
MAR08431,False
MAR08432,False
MAR08603,False
MAR08604,False
MAR08605,False
MAR08606,False
MAR08607,False
MAR08609,False
MAR08610,False
MAR08611,False
MAR04285,False
MAR00457,False
MAR00460,False
MAR03750,False
MAR03752,False
