feature,lda_score
MAR02771__ci_upper,4.285592153975007e+26
MAR00138__sd_flux,4.2547285093248597e+26
MAR02609__ci_lower,4.250769772031462e+26
MAR09772__mean_flux,4.24104770180718e+26
MAR09772__cv,4.24104770180718e+26
MAR09762__ci_upper,4.2019539352050935e+26
MAR02486__sd_flux,4.1984076791480555e+26
MAR09092__mean_flux,4.187859675466827e+26
MAR12066__sd_flux,4.179385120566184e+26
MAR00847__sd_flux,4.179385120566184e+26
MAR01087__sd_flux,4.14573828188293e+26
MAR00360__sd_flux,4.1220317868760165e+26
MAR12829__sd_flux,4.119081608503608e+26
MAR02644__ci_upper,4.007407558946583e+26
MAR00143__ci_lower,4.007407558946583e+26
MAR07025__mean_flux,4.005211707562844e+26
MAR07026__mean_flux,4.005211707562844e+26
MAR05456__ci_lower,4.005211707562844e+26
MAR07087__mean_flux,4.005211707562844e+26
MAR07017__mean_flux,4.005211707562844e+26
MAR07000__mean_flux,4.005211707562844e+26
MAR07007__mean_flux,4.005211707562844e+26
MAR05464__sd_flux,4.005211707562844e+26
MAR07086__mean_flux,4.005211707562844e+26
MAR07019__mean_flux,4.005211707562844e+26
MAR06999__mean_flux,4.005211707562844e+26
MAR00035__mean_flux,4.005211707562844e+26
MAR05566__ci_upper,4.0009410471283875e+26
MAR01437__sd_flux,3.9978939176292675e+26
MAR08467__cv,3.99694251718148e+26
MAR11539__mean_flux,3.9912672228778556e+26
MAR01308__mean_flux,3.988522713892751e+26
MAR03028__ci_upper,3.985398356680866e+26
MAR02616__ci_lower,3.964800581393876e+26
MAR01461__cv,3.954879683180016e+26
MAR02342__ci_upper,3.924819210097838e+26
MAR01530__ci_upper,3.8781091403704657e+26
MAR02618__ci_lower,3.872021848977702e+26
MAR09066__ci_lower,3.8570340384461165e+26
MAR05580__sd_flux,3.8342407129257544e+26
MAR02679__ci_lower,3.831978391913371e+26
MAR11926__sd_flux,3.8098864355863176e+26
MAR06765__sd_flux,3.8098864355863176e+26
MAR11790__sd_flux,3.8098864355863176e+26
MAR02530__ci_lower,3.806879363492145e+26
MAR03098__sd_flux,3.802887851356849e+26
MAR08069__sd_flux,3.8024972372899737e+26
MAR09773__cv,3.8024972372899737e+26
MAR08067__cv,3.8024972372899737e+26
MAR08068__sd_flux,3.8024972372899737e+26
MAR01668__sd_flux,3.784132604070652e+26
MAR04479__cv,3.7804533567274794e+26
MAR11253__cv,3.7804533567274794e+26
MAR03213__sd_flux,3.777910932404779e+26
MAR05783__sd_flux,3.772144524262177e+26
MAR06032__mean_flux,3.7597500354601185e+26
MAR04828__sd_flux,3.75872082442189e+26
MAR05149__mean_flux,3.748485950776766e+26
MAR03762__mean_flux,3.719838746521282e+26
MAR09951__cv,3.701668046809012e+26
MAR03074__mean_flux,3.689956598864611e+26
MAR11256__ci_lower,3.6792723390905774e+26
MAR04213__cv,3.673821967588541e+26
MAR01755__cv,3.670695306892209e+26
MAR04739__sd_flux,3.6604301662426606e+26
MAR11260__ci_lower,3.6559169071315415e+26
MAR06613__sd_flux,3.6447423561996206e+26
MAR03110__ci_lower,3.6316188678391684e+26
MAR02667__mean_flux,3.628450176042951e+26
MAR02850__ci_lower,3.6280432540036225e+26
MAR06742__sd_flux,3.62595295211246e+26
MAR07155__cv,3.611453683102426e+26
MAR03129__mean_flux,3.608975505477174e+26
MAR05045__ci_lower,3.561995027543111e+26
MAR06765__cv,3.5568580647596156e+26
MAR11926__cv,3.5568580647596156e+26
MAR04897__ci_upper,3.5536351149897684e+26
MAR02931__ci_upper,3.534283056955671e+26
MAR04826__mean_flux,3.519908370719164e+26
MAR00410__sd_flux,3.505296810968217e+26
MAR02930__ci_lower,3.504670519851694e+26
MAR03700__mean_flux,3.473404075291357e+26
MAR02871__ci_upper,3.473404075291357e+26
MAR08375__mean_flux,3.4637733717431204e+26
MAR06124__cv,3.460687496899761e+26
MAR07142__cv,3.4364779025872196e+26
MAR01050__cv,3.429965822060518e+26
MAR02737__sd_flux,3.417977151529864e+26
MAR09772__sd_flux,3.416355786454554e+26
MAR02924__sd_flux,3.414433644054195e+26
MAR03656__sd_flux,3.410575306544316e+26
MAR02838__cv,3.410425267541455e+26
MAR02794__cv,3.410425267541455e+26
MAR11385__sd_flux,3.409351440508267e+26
MAR06368__cv,3.4072292185173876e+26
MAR03848__sd_flux,3.406239889925256e+26
MAR07733__cv,3.404071559286194e+26
MAR07331__cv,3.404071559286194e+26
MAR03125__sd_flux,3.402288470918025e+26
MAR09134__cv,3.4005093585413365e+26
MAR08070__cv,3.3985230728650686e+26
MAR08066__cv,3.3985230728650686e+26
MAR03517__mean_flux,3.396866968040175e+26
MAR05461__ci_upper,3.3942142762349616e+26
MAR06047__mean_flux,3.376934872853674e+26
MAR09744__mean_flux,3.367980593027068e+26
MAR08632__mean_flux,3.367414694954018e+26
MAR02816__cv,3.362099784276083e+26
MAR05419__cv,3.360019033526387e+26
MAR06485__ci_upper,3.347085118307373e+26
MAR02338__ci_lower,3.333809230123278e+26
MAR02822__cv,3.3115925325083296e+26
MAR03625__cv,3.3115925325083296e+26
MAR03660__cv,3.3115925325083296e+26
MAR03628__cv,3.3115925325083296e+26
MAR03646__cv,3.3115925325083296e+26
MAR02806__cv,3.3115925325083296e+26
MAR03639__cv,3.3115925325083296e+26
MAR02805__cv,3.3115925325083296e+26
MAR03633__cv,3.3115925325083296e+26
MAR02788__cv,3.3115925325083296e+26
MAR08414__ci_lower,3.309665922931213e+26
MAR08415__ci_lower,3.309665922931213e+26
MAR04826__cv,3.3077492431523314e+26
MAR11244__cv,3.3077492431523314e+26
MAR03256__mean_flux,3.276552947509659e+26
MAR04595__ci_upper,3.275665922858212e+26
MAR04667__ci_lower,3.267606262753949e+26
MAR05074__mean_flux,3.266980973322176e+26
MAR01489__ci_upper,3.2557683696881515e+26
MAR03833__cv,3.248252006630871e+26
MAR06123__sd_flux,3.228477661314206e+26
MAR02429__cv,3.211916874890044e+26
MAR02923__mean_flux,3.2052091381187754e+26
MAR02922__mean_flux,3.2052091381187754e+26
MAR01100__cv,3.204169366050274e+26
MAR01480__sd_flux,3.2027630756439355e+26
MAR07469__cv,3.199787834073269e+26
MAR09642__ci_lower,3.198098002179458e+26
MAR09256__ci_lower,3.198098002179458e+26
MAR01449__cv,3.1790302536530126e+26
MAR06586__sd_flux,3.154856066936754e+26
MAR03867__ci_lower,3.1482591103373156e+26
MAR03171__ci_upper,3.1090812891761554e+26
MAR07768__cv,3.092852341566053e+26
MAR05003__ci_lower,3.0926423449976683e+26
MAR03741__sd_flux,3.0898657072536217e+26
MAR05156__sd_flux,3.089680621723808e+26
MAR05222__sd_flux,3.089680621723808e+26
MAR11443__sd_flux,3.077997383657669e+26
MAR01616__sd_flux,3.077997383657669e+26
MAR02576__sd_flux,3.0692433855475397e+26
MAR02575__sd_flux,3.0692433855475397e+26
MAR03254__mean_flux,3.0677165075131702e+26
MAR03982__ci_upper,3.0505586073364035e+26
MAR03732__cv,3.0496615203084082e+26
MAR07327__sd_flux,3.0411762566314476e+26
MAR03624__cv,3.038509684853993e+26
MAR04744__mean_flux,3.036707813425739e+26
MAR02878__ci_upper,3.026152768015321e+26
MAR07955__ci_lower,3.018912369110281e+26
MAR09061__ci_lower,3.0079955334116575e+26
MAR05418__sd_flux,2.9940692196298252e+26
MAR04887__sd_flux,2.9807266043537424e+26
MAR02669__ci_lower,2.9782568316700114e+26
MAR03683__sd_flux,2.969510193574581e+26
MAR07083__mean_flux,2.9667434189093102e+26
MAR07080__mean_flux,2.9667434189093102e+26
MAR06998__mean_flux,2.9667434189093102e+26
MAR07050__mean_flux,2.9667434189093102e+26
MAR07079__mean_flux,2.9667434189093102e+26
MAR07041__mean_flux,2.9667434189093102e+26
MAR06995__mean_flux,2.9667434189093102e+26
MAR07022__mean_flux,2.9667434189093102e+26
MAR10052__cv,2.9560060233353246e+26
MAR03129__ci_upper,2.9548698335654853e+26
MAR02866__mean_flux,2.9548698335654853e+26
MAR02865__mean_flux,2.9548698335654853e+26
MAR03431__cv,2.951591903695895e+26
MAR07183__mean_flux,2.951591903695895e+26
MAR05145__ci_lower,2.9501121158202497e+26
MAR07085__mean_flux,2.944060015084134e+26
MAR02764__ci_lower,2.93681466104095e+26
MAR07251__mean_flux,2.9295383259536395e+26
MAR03272__ci_upper,2.9143762671632398e+26
MAR07804__mean_flux,2.9132303257000836e+26
MAR02407__ci_upper,2.9089992721329467e+26
MAR20124__ci_upper,2.8975710483112798e+26
MAR06367__mean_flux,2.8843637177584454e+26
MAR03585__mean_flux,2.878150457778885e+26
MAR03568__mean_flux,2.878150457778885e+26
MAR03565__mean_flux,2.878150457778885e+26
MAR03573__mean_flux,2.878150457778885e+26
MAR03579__mean_flux,2.878150457778885e+26
MAR03564__mean_flux,2.878150457778885e+26
MAR03558__mean_flux,2.878150457778885e+26
MAR03584__mean_flux,2.878150457778885e+26
MAR03583__mean_flux,2.878150457778885e+26
MAR03556__mean_flux,2.878150457778885e+26
MAR03543__mean_flux,2.878150457778885e+26
MAR03580__mean_flux,2.878150457778885e+26
MAR03582__mean_flux,2.878150457778885e+26
MAR03538__mean_flux,2.878150457778885e+26
MAR09754__mean_flux,2.878150457778885e+26
MAR03572__mean_flux,2.878150457778885e+26
MAR03594__mean_flux,2.878150457778885e+26
MAR03591__mean_flux,2.878150457778885e+26
MAR03571__mean_flux,2.878150457778885e+26
MAR03595__mean_flux,2.878150457778885e+26
MAR03570__mean_flux,2.878150457778885e+26
MAR09791__mean_flux,2.878150457778885e+26
MAR03569__mean_flux,2.878150457778885e+26
MAR03596__mean_flux,2.878150457778885e+26
MAR03592__mean_flux,2.878150457778885e+26
MAR11254__sd_flux,2.8778077037509448e+26
MAR04509__sd_flux,2.8778077037509448e+26
MAR05103__sd_flux,2.8778077037509448e+26
MAR11323__ci_lower,2.865890434662624e+26
MAR07956__ci_upper,2.8580502477024765e+26
MAR09378__cv,2.8558994494752164e+26
MAR08533__cv,2.8432350195807363e+26
MAR02607__sd_flux,2.8415130656463484e+26
MAR02321__sd_flux,2.834918318122536e+26
MAR07835__cv,2.8341663207029322e+26
MAR00064__sd_flux,2.8052606224738794e+26
MAR01438__mean_flux,2.802142787568968e+26
MAR09062__ci_lower,2.7885894811680174e+26
MAR02719__sd_flux,2.7876012750539824e+26
MAR11255__sd_flux,2.787465135743836e+26
MAR03215__sd_flux,2.7862311549960234e+26
MAR00183__sd_flux,2.785766458685776e+26
MAR09816__sd_flux,2.785766458685776e+26
MAR02748__ci_lower,2.7804357964529995e+26
MAR02409__sd_flux,2.776738635985243e+26
MAR06503__sd_flux,2.776738635985243e+26
MAR09918__mean_flux,2.7750424450650353e+26
MAR01308__cv,2.7712602517790776e+26
MAR09004__mean_flux,2.770756597231845e+26
MAR09021__mean_flux,2.770756597231845e+26
MAR11246__ci_upper,2.7662166094621857e+26
MAR07780__cv,2.7560526800071383e+26
MAR02925__ci_upper,2.747199112532806e+26
MAR20126__sd_flux,2.7468616494136368e+26
MAR01050__sd_flux,2.7326233716616077e+26
MAR11244__sd_flux,2.7183965886542726e+26
MAR10405__cv,2.7067946706605284e+26
MAR04869__sd_flux,2.7030531791276368e+26
MAR05106__sd_flux,2.7030531791276368e+26
MAR02251__cv,2.700765277307067e+26
MAR02250__cv,2.700765277307067e+26
MAR02919__sd_flux,2.6970295800541637e+26
MAR02752__ci_upper,2.6964253863178725e+26
MAR00497__sd_flux,2.6820149571141288e+26
MAR00498__sd_flux,2.6820149571141288e+26
MAR00490__sd_flux,2.6820149571141288e+26
MAR03098__cv,2.6789853150814214e+26
MAR00509__mean_flux,2.677066806599182e+26
MAR05304__ci_lower,2.674986611711424e+26
MAR11980__sd_flux,2.6716265964859666e+26
MAR11979__sd_flux,2.6716265964859666e+26
MAR03492__ci_lower,2.653637819323069e+26
MAR02850__sd_flux,2.6524701845080214e+26
MAR02537__ci_upper,2.6468596109152653e+26
MAR00107__ci_upper,2.6466946474491423e+26
MAR03163__mean_flux,2.6461604269543406e+26
MAR00455__mean_flux,2.6419049605408736e+26
MAR01701__cv,2.6418921473657287e+26
MAR06146__cv,2.627535028175591e+26
MAR05267__sd_flux,2.6233038975017146e+26
MAR02545__sd_flux,2.6181507409455974e+26
MAR02549__sd_flux,2.6181507409455974e+26
MAR06412__ci_lower,2.618052235613382e+26
MAR03236__mean_flux,2.6139048434405193e+26
MAR06134__cv,2.5992669589170764e+26
MAR02838__sd_flux,2.5850898749149953e+26
MAR02794__sd_flux,2.5850898749149953e+26
MAR07632__mean_flux,2.5573808739132977e+26
MAR04624__sd_flux,2.5497291003845764e+26
MAR08736__sd_flux,2.544779778490421e+26
MAR04495__cv,2.5445965898564404e+26
MAR10383__mean_flux,2.5389848436440162e+26
MAR02381__sd_flux,2.534814034599121e+26
MAR02684__cv,2.5322549377401793e+26
MAR00498__cv,2.5302810079192235e+26
MAR00490__cv,2.5302810079192235e+26
MAR00497__cv,2.5302810079192235e+26
MAR01712__sd_flux,2.5266241909253726e+26
MAR01353__sd_flux,2.5266241909253726e+26
MAR01821__sd_flux,2.5184150303637908e+26
MAR00246__ci_upper,2.517222503404425e+26
MAR04077__cv,2.516699472030059e+26
MAR01129__sd_flux,2.516372389869045e+26
MAR01132__sd_flux,2.516372389869045e+26
MAR00085__cv,2.5161187152983896e+26
MAR03123__ci_lower,2.5114963368306122e+26
MAR02857__ci_lower,2.5078243030664627e+26
MAR00091__cv,2.5054750710039714e+26
MAR06781__sd_flux,2.5016123588507304e+26
MAR06780__sd_flux,2.5016123588507304e+26
MAR09086__mean_flux,2.498203075576159e+26
MAR04738__sd_flux,2.4865952515477448e+26
MAR05617__mean_flux,2.48446296033945e+26
MAR02714__ci_upper,2.4793060524863945e+26
MAR07740__mean_flux,2.47328363411198e+26
MAR02122__cv,2.45635533202191e+26
MAR01780__cv,2.45082873899794e+26
MAR06245__cv,2.450180983092433e+26
MAR11256__mean_flux,2.445521992785338e+26
MAR02737__ci_lower,2.4398071023295658e+26
MAR03604__cv,2.4351135810867853e+26
MAR09617__mean_flux,2.429470330069054e+26
MAR02261__mean_flux,2.4225417780645355e+26
MAR02260__mean_flux,2.4225417780645355e+26
MAR02308__sd_flux,2.420549568516226e+26
MAR09924__mean_flux,2.416725014240848e+26
MAR05476__ci_upper,2.4136404705565652e+26
MAR03123__cv,2.4117467464774037e+26
MAR02730__ci_lower,2.398842810782486e+26
MAR02169__mean_flux,2.396715472224978e+26
MAR02171__mean_flux,2.396715472224978e+26
MAR02167__mean_flux,2.396715472224978e+26
MAR02170__mean_flux,2.396715472224978e+26
MAR02166__mean_flux,2.396715472224978e+26
MAR02165__mean_flux,2.396715472224978e+26
MAR02164__mean_flux,2.396715472224978e+26
MAR02168__mean_flux,2.396715472224978e+26
MAR10403__cv,2.3912638234401416e+26
MAR02526__mean_flux,2.390927423227476e+26
MAR20118__mean_flux,2.3818940275523946e+26
MAR01731__mean_flux,2.3769156614441205e+26
MAR11375__mean_flux,2.3753414822023657e+26
MAR02876__ci_upper,2.3748010918402555e+26
MAR02542__ci_upper,2.3722858494151683e+26
MAR02541__ci_upper,2.3722858494151683e+26
MAR02774__mean_flux,2.3692365560356037e+26
MAR04854__cv,2.366370572206814e+26
MAR02053__mean_flux,2.364908913170709e+26
MAR08591__mean_flux,2.3611943327529874e+26
MAR08592__mean_flux,2.3611943327529874e+26
MAR08588__mean_flux,2.3611943327529874e+26
MAR01464__sd_flux,2.3601875740166197e+26
MAR09950__mean_flux,2.3568364387898715e+26
MAR02918__cv,2.344682253764053e+26
MAR06659__sd_flux,2.3404188773581415e+26
MAR11790__cv,2.3379287828767096e+26
MAR06103__mean_flux,2.3330398523306763e+26
MAR04859__ci_lower,2.3227655759608902e+26
MAR09043__ci_lower,2.322403373908358e+26
MAR01103__cv,2.3223948345304225e+26
MAR02646__sd_flux,2.3140681134748104e+26
MAR03639__sd_flux,2.3114871426294473e+26
MAR03646__sd_flux,2.3114871426294473e+26
MAR02822__sd_flux,2.3114871426294473e+26
MAR02788__sd_flux,2.3114871426294473e+26
MAR03625__sd_flux,2.3114871426294473e+26
MAR03628__sd_flux,2.3114871426294473e+26
MAR04638__sd_flux,2.3073494819913505e+26
