gene,comparison,log2fc,p_value,abs_log2fc
SLC9A8,Survivor_vs_Healthy,0.5438583251231006,2.562143669163401e-34,0.5438583251231006
SLC1A5,Fatal_vs_Healthy,1.719985432835832,2.562143669163401e-34,1.719985432835832
SLCO4A1,Fatal_vs_Healthy,4.593744104281885,2.562143669163401e-34,4.593744104281885
SLC25A20,Fatal_vs_Healthy,2.424575068712541,2.562143669163401e-34,2.424575068712541
SLC9A1,Fatal_vs_Healthy,-0.6725289194124191,2.562143669163401e-34,0.6725289194124191
SLC39A1,Fatal_vs_Healthy,1.6416068153156091,2.562143669163401e-34,1.6416068153156091
SLC25A12,Fatal_vs_Healthy,1.2893289673706196,2.562143669163401e-34,1.2893289673706196
SLC7A5,Fatal_vs_Healthy,-0.4573211167275987,2.562143669163401e-34,0.4573211167275987
SLCO3A1,Fatal_vs_Healthy,-0.3556892619004505,2.562143669163401e-34,0.3556892619004505
SLC2A1,Fatal_vs_Healthy,0.8735216632585935,2.562143669163401e-34,0.8735216632585935
SLC43A2,Fatal_vs_Healthy,-1.2893053050671701,2.562143669163401e-34,1.2893053050671701
SLC25A13,Fatal_vs_Healthy,0.7911175183655038,2.562143669163401e-34,0.7911175183655038
SLC30A6,Survivor_vs_Healthy,1.4002143286942046,2.562143669163401e-34,1.4002143286942046
SLC16A6,Fatal_vs_Healthy,-0.9871651780065342,2.562143669163401e-34,0.9871651780065342
SLC35B4,Fatal_vs_Healthy,1.755020460088818,2.562143669163401e-34,1.755020460088818
SLC39A8,Fatal_vs_Healthy,4.378384572276959,2.562143669163401e-34,4.378384572276959
SLC9A9,Survivor_vs_Healthy,1.131917456777128,2.562143669163401e-34,1.131917456777128
SLC30A7,Fatal_vs_Healthy,0.5889141422736005,2.562143669163401e-34,0.5889141422736005
SLC30A1,Fatal_vs_Healthy,0.8433052343154922,2.562143669163401e-34,0.8433052343154922
SLC8A1,Fatal_vs_Healthy,0.9739900247463544,2.562143669163401e-34,0.9739900247463544
